cluster,size,survival_std,survival_bd,improvement
Mast_11,44,0.25,0.9318181818181818,0.6818181818181818
B cell_13,230,0.8956521739130435,0.8347826086956521,-0.0608695652173914
Macrophage_11,1331,0.3290758827948911,0.9646882043576258,0.6356123215627347
Dendritic cell_17,129,0.27906976744186046,0.9612403100775194,0.682170542635659
Mast_8,91,0.7912087912087912,1.0,0.20879120879120883
pDC_9,50,0.96,1.0,0.040000000000000036
Plasma cell_12,150,0.9533333333333334,0.9933333333333333,0.039999999999999925
pDC_4,187,0.48128342245989303,0.946524064171123,0.46524064171123
Plasma cell_15,127,0.4881889763779528,0.6850393700787402,0.19685039370078738
Dendritic cell_5,481,0.5509355509355509,0.8877338877338877,0.3367983367983368
pDC_5,111,0.5135135135135135,0.990990990990991,0.4774774774774775
NK cell_4,444,0.5427927927927928,0.8265765765765766,0.28378378378378377
B cell_9,302,0.5066225165562914,0.9437086092715232,0.4370860927152318
Dendritic cell_20,57,0.47368421052631576,0.8771929824561403,0.40350877192982454
Dendritic cell_6,468,0.7841880341880342,0.8846153846153846,0.1004273504273504
pDC_1,205,0.7268292682926829,0.9658536585365853,0.23902439024390243
T cell_21,504,0.9166666666666666,0.9583333333333334,0.04166666666666674
Macrophage_15,884,0.8212669683257918,0.9400452488687783,0.11877828054298645
Dendritic cell_19,57,0.24561403508771928,0.42105263157894735,0.17543859649122806
T cell_24,248,0.8790322580645161,0.9516129032258065,0.07258064516129037
pDC_13,14,1.0,1.0,0.0
NK cell_15,73,0.9452054794520548,0.958904109589041,0.013698630136986245
Mast_0,252,0.6071428571428571,0.9047619047619048,0.29761904761904767
Mast_7,102,0.803921568627451,0.7156862745098039,-0.08823529411764708
Macrophage_30,113,0.911504424778761,0.9203539823008849,0.008849557522123908
B cell_18,115,0.9478260869565217,0.991304347826087,0.0434782608695653
Mast_3,181,0.5082872928176796,0.9005524861878453,0.39226519337016574
Mast_1,204,0.7352941176470589,0.8431372549019608,0.10784313725490191
Macrophage_16,835,0.25508982035928146,0.7317365269461078,0.47664670658682634
Mast_13,25,1.0,1.0,0.0
T cell_4,2598,0.5785219399538106,0.9896073903002309,0.4110854503464203
T cell_7,1953,0.3932411674347158,0.620583717357911,0.22734254992319514
B cell_15,129,0.9302325581395349,0.7829457364341085,-0.1472868217054264
T cell_17,736,0.39266304347826086,0.9741847826086957,0.5815217391304348
Mast_10,49,0.3469387755102041,0.7346938775510204,0.38775510204081637
Macrophage_23,663,0.9260935143288085,0.9306184012066365,0.004524886877828038
Plasma cell_18,77,0.935064935064935,0.987012987012987,0.051948051948051965
Plasma cell_3,533,0.5816135084427767,0.9943714821763602,0.41275797373358347
pDC_8,92,0.782608695652174,0.9565217391304348,0.17391304347826086
Mast_9,60,0.2833333333333333,0.6833333333333333,0.4
NK cell_6,375,0.6453333333333333,0.9733333333333334,0.32800000000000007
Dendritic cell_18,81,0.8271604938271605,0.9506172839506173,0.12345679012345678
NK cell_11,161,0.6273291925465838,0.32298136645962733,-0.3043478260869565
T cell_23,394,0.9263959390862944,0.9619289340101523,0.035532994923857975
NK cell_2,594,0.4175084175084175,0.9781144781144782,0.5606060606060607
Plasma cell_17,88,0.9659090909090909,0.9772727272727273,0.011363636363636354
T cell_16,801,0.947565543071161,0.951310861423221,0.0037453183520599342
Dendritic cell_10,258,0.8488372093023255,0.9806201550387597,0.13178294573643412
pDC_12,21,1.0,1.0,0.0
B cell_10,263,0.5817490494296578,0.973384030418251,0.3916349809885932
NK cell_10,192,0.6822916666666666,0.984375,0.30208333333333337
B cell_11,258,0.5116279069767442,0.9496124031007752,0.437984496124031
T cell_22,462,0.8917748917748918,0.9696969696969697,0.07792207792207795
B cell_16,119,0.5378151260504201,0.8907563025210085,0.3529411764705883
Plasma cell_22,10,1.0,1.0,0.0
