RS,celltype
1.4424057,Macrophage
1.2613853,T cell
1.201213,Plasma cell
1.493451,T cell
1.2291481,T cell
1.3706051,Macrophage
0.66619897,B cell
0.8374324,Plasma cell
1.3701948,B cell
2.9602575,B cell
1.213409,B cell
1.6727343,B cell
1.0930992,T cell
1.4705411,T cell
1.039653,T cell
0.9211561,T cell
1.3962814,T cell
1.7276204,Plasma cell
1.7555442,B cell
1.4922873,Dendritic cell
2.1380951,Plasma cell
1.5458479,pDC
1.6225454,T cell
1.0341876,Plasma cell
1.8955542,T cell
1.2089182,T cell
0.72823745,Plasma cell
1.176467,pDC
1.6130061,T cell
0.684954,B cell
0.91067106,T cell
0.9730928,T cell
1.0543971,Plasma cell
1.0098686,B cell
1.0546407,T cell
1.7413002,Macrophage
1.188522,T cell
1.1673781,T cell
1.1037297,Plasma cell
1.0498205,T cell
1.2688916,Macrophage
1.1757536,T cell
0.8888264,T cell
1.3517084,T cell
1.1043006,T cell
1.1235865,B cell
1.437768,T cell
1.4981393,Macrophage
1.2106868,Dendritic cell
1.9813768,Macrophage
1.6035781,T cell
0.8530599,Plasma cell
1.0919076,T cell
1.3277581,B cell
1.1531522,T cell
1.1572311,T cell
2.283023,T cell
1.213688,Plasma cell
0.9908323,B cell
1.0520371,Plasma cell
0.9681772,T cell
1.0563991,Plasma cell
1.3763096,pDC
1.8000697,B cell
1.7705784,T cell
1.1553383,T cell
1.1473343,T cell
1.0145676,T cell
1.2542083,Dendritic cell
1.0154613,T cell
1.3809769,T cell
0.93973035,T cell
1.7296823,Macrophage
1.6427929,Plasma cell
1.2644694,B cell
1.5646025,NK cell
1.626576,T cell
1.6845626,B cell
1.5170604,Macrophage
0.89661086,Dendritic cell
1.5880234,Dendritic cell
1.8396661,Macrophage
1.1763302,Macrophage
1.6144315,pDC
1.3504611,B cell
1.1608045,T cell
1.2369926,Dendritic cell
0.7002541,B cell
1.1489546,Plasma cell
0.93474376,T cell
1.1638191,T cell
1.298096,T cell
1.0608977,T cell
1.1609682,Macrophage
1.5568192,B cell
1.2593861,B cell
1.3358598,T cell
1.6568898,B cell
0.7240981,B cell
1.7127532,T cell
1.4210593,B cell
1.1656889,Plasma cell
1.1773548,Plasma cell
1.0044951,T cell
1.2592514,T cell
2.2408373,B cell
1.3112442,B cell
1.0018364,T cell
0.93631583,T cell
1.8095247,B cell
1.637792,Plasma cell
1.4942604,Macrophage
0.9857408,B cell
1.2117413,B cell
1.0017493,T cell
1.021325,T cell
1.1396979,Plasma cell
2.7120025,Plasma cell
1.3357358,T cell
0.76207334,B cell
1.7738249,B cell
1.0726135,B cell
1.2883217,B cell
1.6697913,T cell
0.96283007,T cell
1.4251378,T cell
1.2563683,B cell
1.2711406,T cell
