NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch,method
1.0,0.7,0.05778331975677102,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.12122996710849192,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.0760589050568144,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.06943781779293236,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.09100883111940308,0.0,gamma,0,celseq2,Harmony
1.0,0.8666666666666667,0.07008797038935333,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.08832906951059348,0.0,gamma,0,celseq2,Harmony
1.0,0.8666666666666667,0.11695257705257622,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.12019378351989357,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.0709435262111062,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.07956615652659432,0.0,gamma,0,celseq2,Harmony
1.0,0.9333333333333333,0.1282449914438319,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.09091800523189733,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.08938489864194302,0.0,gamma,0,celseq2,Harmony
0.0,1.0,0.05855297699100628,0.05855297699100628,gamma,0,fluidigmc1,Harmony
0.0,1.0,0.09475278672839982,0.09475278672839982,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.10637647749890723,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.8,0.14835484974689397,0.0,gamma,0,fluidigmc1,Harmony
0.0,1.0,0.07488286435314237,0.07488286435314237,gamma,0,fluidigmc1,Harmony
1.0,0.7333333333333333,0.1629687616115031,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.06723210833391369,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9333333333333333,0.07245890586991982,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.09346990702536875,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.08491124191248427,0.0,gamma,0,fluidigmc1,Harmony
0.8,0.8333333333333334,0.08029360092510035,0.016058720185020067,gamma,0,fluidigmc1,Harmony
1.0,0.9333333333333333,0.07957422373794973,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9,0.13177944932639926,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.09322382381580602,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.08305116425623298,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.7666666666666667,0.24020294139532303,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.8333333333333334,0.19449259847107503,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.9666666666666667,0.07867561463778021,0.0,gamma,0,fluidigmc1,Harmony
1.0,0.43333333333333335,0.10569852540355222,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.1014717874762658,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.10053829205416452,0.0,gamma,0,smartseq2,Harmony
1.0,0.7333333333333333,0.0897475550251947,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.11296283249798561,0.0,gamma,0,smartseq2,Harmony
1.0,0.7333333333333333,0.11450059171953825,0.0,gamma,0,smartseq2,Harmony
1.0,0.7,0.06373753723451024,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.08017879462997907,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.0692023214085202,0.0,gamma,0,smartseq2,Harmony
1.0,0.7333333333333333,0.07378210951653141,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.08065212358474218,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.13528708313842494,0.0,gamma,0,smartseq2,Harmony
1.0,0.8,0.07988463747079946,0.0,gamma,0,smartseq2,Harmony
