NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch
0.8333333333333334,0.8,0.7384930581952175,0.12308217636586956,gamma,0,smartseq2
1.0,0.8461538461538461,0.7409175783263646,0.0,gamma,0,smartseq2
0.8571428571428571,0.7666666666666667,0.8064634199258175,0.11520905998940253,gamma,0,smartseq2
1.0,0.9,0.5961985396088151,0.0,gamma,0,smartseq2
1.0,0.88,0.7077949203935802,0.0,gamma,0,smartseq2
1.0,0.9230769230769231,0.5499503078207472,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.5025822576529948,0.0,gamma,0,smartseq2
1.0,0.8,0.7865398934646887,0.0,gamma,0,smartseq2
1.0,0.9,0.5884553074128651,0.0,gamma,0,smartseq2
1.0,0.9,0.5586023705755649,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.4563967181986542,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.48678621948912343,0.0,gamma,0,smartseq2
1.0,0.7241379310344828,0.9063593839766587,0.0,gamma,0,smartseq2
0.6666666666666666,0.88,0.7054641957694825,0.23515473192316086,gamma,0,smartseq2
1.0,0.9333333333333333,0.4449412042412787,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.5336662344852963,0.0,gamma,0,smartseq2
1.0,0.8518518518518519,0.7278497327938876,0.0,gamma,0,smartseq2
1.0,0.8666666666666667,0.7032398328898701,0.0,gamma,0,smartseq2
1.0,0.8333333333333334,0.69591302219746,0.0,gamma,0,smartseq2
1.0,0.9166666666666666,0.5991567429839953,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.5297364387907947,0.0,gamma,0,smartseq2
1.0,0.9,0.5564510446118786,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.5899171565590031,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.5060429716721601,0.0,gamma,0,smartseq2
1.0,0.896551724137931,0.7643800627270471,0.0,gamma,0,smartseq2
1.0,0.7666666666666667,0.9234106573496,0.0,gamma,0,smartseq2
0.6666666666666666,0.8846153846153846,0.6329298599142232,0.21097661997140776,gamma,0,smartseq2
1.0,0.9130434782608695,0.6097741027897394,0.0,gamma,0,smartseq2
1.0,0.9,0.6211985482871559,0.0,gamma,0,smartseq2
1.0,0.8666666666666667,0.6471526884631873,0.0,gamma,0,smartseq2
0.8,0.8333333333333334,0.5516162021150852,0.11032324042301701,gamma,0,smartseq2
1.0,0.9130434782608695,0.643179327498017,0.0,gamma,0,smartseq2
1.0,0.8666666666666667,0.5535063447349374,0.0,gamma,0,smartseq2
1.0,0.8888888888888888,0.6632394857562393,0.0,gamma,0,smartseq2
1.0,0.92,0.5786751992113124,0.0,gamma,0,smartseq2
1.0,0.92,0.5232978389195813,0.0,gamma,0,smartseq2
1.0,0.8461538461538461,0.7454082378281931,0.0,gamma,0,smartseq2
1.0,0.9166666666666666,0.5103583634037842,0.0,gamma,0,smartseq2
1.0,0.9166666666666666,0.5574198598621533,0.0,gamma,0,smartseq2
1.0,0.8518518518518519,0.6922929044150191,0.0,gamma,0,smartseq2
1.0,0.92,0.5778774861276723,0.0,gamma,0,smartseq2
1.0,0.8214285714285714,0.7716055103992557,0.0,gamma,0,smartseq2
1.0,0.92,0.5258064001027516,0.0,gamma,0,smartseq2
1.0,0.8214285714285714,0.7706756782557229,0.0,gamma,0,smartseq2
1.0,0.92,0.5810981225277577,0.0,gamma,0,smartseq2
1.0,0.9230769230769231,0.515545685389319,0.0,gamma,0,smartseq2
1.0,0.8846153846153846,0.5862040763902268,0.0,gamma,0,smartseq2
1.0,0.8846153846153846,0.6362198536137479,0.0,gamma,0,smartseq2
1.0,0.8888888888888888,0.5991809729114271,0.0,gamma,0,smartseq2
1.0,0.8846153846153846,0.6724696995731992,0.0,gamma,0,smartseq2
1.0,0.9166666666666666,0.5526529167035497,0.0,gamma,0,smartseq2
1.0,0.9230769230769231,0.5219798766634209,0.0,gamma,0,smartseq2
1.0,0.8214285714285714,0.7401012588801122,0.0,gamma,0,smartseq2
1.0,0.92,0.5769683431485367,0.0,gamma,0,smartseq2
1.0,0.92,0.5448478252945863,0.0,gamma,0,smartseq2
1.0,0.8571428571428571,0.6656142269247258,0.0,gamma,0,smartseq2
0.8571428571428571,0.7666666666666667,0.8326706205187218,0.11895294578838886,gamma,0,smartseq2
1.0,0.8888888888888888,0.6538958980954513,0.0,gamma,0,smartseq2
1.0,0.9230769230769231,0.514706455123432,0.0,gamma,0,smartseq2
1.0,0.84,0.7573918461781455,0.0,gamma,0,smartseq2
1.0,0.92,0.5610388668169756,0.0,gamma,0,smartseq2
1.0,0.9230769230769231,0.5540999085302882,0.0,gamma,0,smartseq2
1.0,0.92,0.5604253775512152,0.0,gamma,0,smartseq2
1.0,0.9130434782608695,0.5985848750405712,0.0,gamma,0,smartseq2
1.0,0.8461538461538461,0.7334243517713361,0.0,gamma,0,smartseq2
1.0,0.8571428571428571,0.6835982483636989,0.0,gamma,0,smartseq2
1.0,0.8275862068965517,0.7718805096615968,0.0,gamma,0,smartseq2
1.0,0.92,0.6079357525076066,0.0,gamma,0,smartseq2
