celltype,post_cnem,cnem_delta,method
gamma,0.23191380500793457,0.024544239044189453,Harmony
gamma,0.24879568815231323,0.01186978816986084,Harmony
gamma,0.2418859601020813,0.006201207637786865,Harmony
gamma,0.21573078632354736,0.013289153575897217,Harmony
gamma,0.24510407447814941,0.008147478103637695,Harmony
gamma,0.28232091665267944,0.02097839117050171,Harmony
gamma,0.20084160566329956,0.008250117301940918,Harmony
gamma,0.18627744913101196,0.0201261043548584,Harmony
gamma,0.1837291121482849,0.01692366600036621,Harmony
gamma,0.19715404510498047,0.011862218379974365,Harmony
gamma,0.24653524160385132,0.0284690260887146,Harmony
gamma,0.2478010654449463,0.018290579319000244,Harmony
gamma,0.19348293542861938,0.02470386028289795,Harmony
gamma,0.18264251947402954,0.01506352424621582,Harmony
gamma,0.2165723443031311,0.027478694915771484,Harmony
gamma,0.2885119318962097,0.023747801780700684,Harmony
gamma,0.16364741325378418,0.01698213815689087,Harmony
gamma,0.18383920192718506,0.009619951248168945,Harmony
gamma,0.2300626039505005,0.02156168222427368,Harmony
gamma,0.25041937828063965,0.013936877250671387,Harmony
gamma,0.24877500534057617,0.00609588623046875,Harmony
gamma,0.19751954078674316,0.018920540809631348,Harmony
gamma,0.20957165956497192,0.02343815565109253,Harmony
gamma,0.23529988527297974,0.017304182052612305,Harmony
gamma,0.27264487743377686,0.03473520278930664,Harmony
gamma,0.2309504747390747,0.01869112253189087,Harmony
gamma,0.17212319374084473,0.012946069240570068,Harmony
gamma,0.15620046854019165,0.01202702522277832,Harmony
gamma,0.2005462646484375,0.00912243127822876,Harmony
gamma,0.2472807765007019,0.016321539878845215,Harmony
gamma,0.1682695746421814,0.017423808574676514,Harmony
gamma,0.2988293170928955,0.03190052509307861,Harmony
gamma,0.18570393323898315,0.018651127815246582,Harmony
gamma,0.24828654527664185,0.022017598152160645,Harmony
gamma,0.26249027252197266,0.03329497575759888,Harmony
gamma,0.20502042770385742,0.028054237365722656,Harmony
gamma,0.3366955518722534,0.044548094272613525,Harmony
gamma,0.17581439018249512,0.016128242015838623,Harmony
gamma,0.18367785215377808,0.014496922492980957,Harmony
gamma,0.2961347699165344,0.0373498797416687,Harmony
gamma,0.24694520235061646,0.02462291717529297,Harmony
gamma,0.18704307079315186,0.021792232990264893,Harmony
gamma,0.23260623216629028,0.008958578109741211,Harmony
gamma,0.2908664345741272,0.0028957724571228027,Harmony
gamma,0.24927127361297607,0.018075108528137207,Harmony
gamma,0.18848580121994019,0.017653703689575195,Harmony
gamma,0.25708848237991333,0.009615898132324219,Harmony
gamma,0.21594536304473877,0.025774002075195312,Harmony
gamma,0.19765567779541016,0.030686378479003906,Harmony
gamma,0.2782408595085144,0.033786773681640625,Harmony
gamma,0.23435795307159424,0.02507805824279785,Harmony
gamma,0.33207958936691284,0.016213297843933105,Harmony
gamma,0.24353182315826416,0.0060166120529174805,Harmony
gamma,0.24111443758010864,0.01297605037689209,Harmony
gamma,0.22736579179763794,0.028713345527648926,Harmony
gamma,0.2349863052368164,0.02246236801147461,Harmony
gamma,0.1861501932144165,0.025262415409088135,Harmony
gamma,0.1610492467880249,0.020320475101470947,Harmony
gamma,0.2756580114364624,0.05624806880950928,Harmony
gamma,0.2593819499015808,0.05387991666793823,Harmony
gamma,0.1948385238647461,0.02818220853805542,Harmony
gamma,0.25472283363342285,0.04047316312789917,Harmony
gamma,0.2557041049003601,0.0342942476272583,Harmony
gamma,0.19588840007781982,0.04114025831222534,Harmony
gamma,0.24835222959518433,0.04263484477996826,Harmony
gamma,0.27105337381362915,0.02242136001586914,Harmony
gamma,0.1954924464225769,0.02788257598876953,Harmony
gamma,0.24622732400894165,0.05056041479110718,Harmony
gamma,0.2208985686302185,0.04812777042388916,Harmony
gamma,0.24015969038009644,0.050586163997650146,Harmony
gamma,0.2202509045600891,0.03953331708908081,Harmony
gamma,0.27187079191207886,0.04066765308380127,Harmony
gamma,0.30623894929885864,0.06668210029602051,Harmony
