celltype,post_cnem,cnem_delta,method
gamma,0.13252288103103638,-0.0005909204483032227,Harmony
gamma,0.12962251901626587,0.0007228851318359375,Harmony
gamma,0.12962859869003296,-0.0013123750686645508,Harmony
gamma,0.1199561357498169,0.0038219690322875977,Harmony
gamma,0.12985509634017944,0.0017976760864257812,Harmony
gamma,0.1884257197380066,0.012584447860717773,Harmony
gamma,0.11867290735244751,0.002015829086303711,Harmony
gamma,0.16563230752944946,0.003958344459533691,Harmony
gamma,0.16205835342407227,-0.002345442771911621,Harmony
gamma,0.13125711679458618,0.007094979286193848,Harmony
gamma,0.15078699588775635,0.0010240674018859863,Harmony
gamma,0.2606738805770874,0.001807093620300293,Harmony
gamma,0.27483636140823364,0.0015613436698913574,Harmony
gamma,0.11224633455276489,-0.0007145404815673828,Harmony
gamma,0.13082236051559448,0.001924276351928711,Harmony
gamma,0.12072283029556274,0.0019626617431640625,Harmony
gamma,0.1433100700378418,-0.0018603801727294922,Harmony
gamma,0.1725471019744873,0.019727468490600586,Harmony
gamma,0.1587504744529724,-0.0016974210739135742,Harmony
gamma,0.15388834476470947,0.013514280319213867,Harmony
gamma,0.14395105838775635,-0.0009765028953552246,Harmony
gamma,0.16670125722885132,0.014318346977233887,Harmony
gamma,0.1681637167930603,0.012282192707061768,Harmony
gamma,0.12408572435379028,0.0022134780883789062,Harmony
gamma,0.1365305781364441,0.008586764335632324,Harmony
gamma,0.12444627285003662,0.0007910728454589844,Harmony
gamma,0.12471085786819458,0.0015919208526611328,Harmony
gamma,0.11105620861053467,0.0056542158126831055,Harmony
gamma,0.10790836811065674,0.003260016441345215,Harmony
gamma,0.12886202335357666,0.012528777122497559,Harmony
gamma,0.10599660873413086,0.0006875991821289062,Harmony
gamma,0.20689231157302856,0.02444612979888916,Harmony
gamma,0.1153254508972168,0.008551955223083496,Harmony
gamma,0.12827420234680176,0.007910192012786865,Harmony
gamma,0.11898446083068848,0.004536449909210205,Harmony
gamma,0.16733503341674805,0.0030246973037719727,Harmony
gamma,0.13778096437454224,0.014850497245788574,Harmony
gamma,0.11086559295654297,-0.0010265707969665527,Harmony
gamma,0.11658811569213867,0.003687620162963867,Harmony
gamma,0.14951908588409424,0.010533928871154785,Harmony
gamma,0.11649942398071289,0.003613293170928955,Harmony
gamma,0.15466028451919556,0.00045037269592285156,Harmony
gamma,0.09321755170822144,0.00023287534713745117,Harmony
gamma,0.12754619121551514,0.0048364996910095215,Harmony
gamma,0.10737907886505127,0.0017876029014587402,Harmony
gamma,0.12951582670211792,0.002512633800506592,Harmony
gamma,0.14381903409957886,0.013836801052093506,Harmony
gamma,0.09961473941802979,0.006200969219207764,Harmony
gamma,0.16793513298034668,0.022983431816101074,Harmony
gamma,0.13989883661270142,0.00518798828125,Harmony
gamma,0.12117552757263184,0.00550079345703125,Harmony
gamma,0.11448997259140015,0.0036322474479675293,Harmony
gamma,0.12483078241348267,0.0022919774055480957,Harmony
gamma,0.11498504877090454,0.0011805295944213867,Harmony
gamma,0.13425958156585693,0.003941357135772705,Harmony
gamma,0.15228509902954102,0.018883109092712402,Harmony
gamma,0.16523581743240356,0.014713525772094727,Harmony
gamma,0.09746658802032471,0.003062725067138672,Harmony
acinar,0.1769145131111145,0.010147929191589355,Harmony
acinar,0.23508554697036743,0.031129837036132812,Harmony
acinar,0.20259350538253784,0.045529305934906006,Harmony
acinar,0.14023029804229736,-0.004464685916900635,Harmony
acinar,0.19820916652679443,-0.00017517805099487305,Harmony
acinar,0.13637864589691162,-0.007428109645843506,Harmony
acinar,0.1964394450187683,-0.0024293065071105957,Harmony
acinar,0.19549274444580078,0.010722339153289795,Harmony
acinar,0.14456331729888916,0.002394378185272217,Harmony
acinar,0.1419520378112793,0.013591766357421875,Harmony
acinar,0.19378584623336792,0.03030979633331299,Harmony
acinar,0.18571960926055908,0.0002970695495605469,Harmony
acinar,0.23924899101257324,-0.0018380284309387207,Harmony
acinar,0.24683821201324463,0.01591116189956665,Harmony
acinar,0.21497803926467896,0.016764402389526367,Harmony
acinar,0.34443390369415283,0.0023990869522094727,Harmony
acinar,0.2579191327095032,0.002469301223754883,Harmony
acinar,0.318758487701416,0.008632242679595947,Harmony
acinar,0.18773430585861206,0.017946302890777588,Harmony
acinar,0.20303583145141602,0.004482090473175049,Harmony
acinar,0.22273457050323486,0.007330119609832764,Harmony
acinar,0.20650607347488403,-0.010285615921020508,Harmony
acinar,0.29065537452697754,0.08176320791244507,Harmony
acinar,0.17640817165374756,0.003326237201690674,Harmony
acinar,0.2122521996498108,0.012241661548614502,Harmony
acinar,0.18941903114318848,0.011229336261749268,Harmony
acinar,0.18512636423110962,0.027024686336517334,Harmony
acinar,0.1891329288482666,0.01918494701385498,Harmony
