post_cnem,pre_cnem,celltype,is_rare,batch
0.3664111,0.24337775,Macrophage,0,D38
0.21000218,0.19648957,Macrophage,0,D38
0.23498893,0.20197749,Macrophage,0,D38
0.1936214,0.185704,Macrophage,0,D38
0.21919501,0.19914609,Macrophage,0,D38
0.25980747,0.2376768,Macrophage,0,D38
0.21092749,0.21092749,Mast,1,D38
0.29896533,0.1895771,Macrophage,0,D38
0.2006517,0.19049227,Macrophage,0,D38
0.24841762,0.16971636,Macrophage,0,D38
0.28279316,0.27926052,Macrophage,0,D38
0.2959218,0.2368663,Macrophage,0,D38
0.29061264,0.28935397,B cell,0,D38
0.2593786,0.23651099,Macrophage,0,D38
0.24084616,0.23561668,Mast,1,D38
0.19971025,0.19753027,Macrophage,0,D38
0.20058942,0.18988204,Macrophage,0,D38
0.2960353,0.21299964,Macrophage,0,D38
0.25857723,0.20525897,Macrophage,0,D38
0.22062314,0.1778233,Macrophage,0,D38
0.19773144,0.20086145,Macrophage,0,D38
0.2779808,0.20396322,Macrophage,0,D38
0.18288368,0.16748226,Macrophage,0,D38
0.28711313,0.21519858,Macrophage,0,D38
0.343122,0.25714052,Macrophage,0,D38
0.37322712,0.36771846,T cell,0,D38
0.17935133,0.17778403,Macrophage,0,D38
0.23434043,0.23854625,Macrophage,0,D38
0.2490021,0.22663856,Macrophage,0,D38
0.2957574,0.2158851,Macrophage,0,D38
0.20998353,0.19296384,Macrophage,0,D38
0.27809954,0.2254461,Macrophage,0,D38
0.21571326,0.16656482,Macrophage,0,D38
0.27433026,0.26888806,Macrophage,0,D38
0.25166875,0.24254441,Macrophage,0,D38
0.30362964,0.22037435,Macrophage,0,D38
0.17227292,0.17613149,Macrophage,0,D38
0.25796854,0.16943324,Macrophage,0,D38
0.21067512,0.20051658,Macrophage,0,D38
0.3450259,0.25473678,Macrophage,0,D38
0.24256551,0.23055458,pDC,1,D38
0.23430145,0.21595943,Mast,1,D38
0.2587149,0.18354994,Macrophage,0,D38
0.19015062,0.17639077,Macrophage,0,D38
0.17983949,0.18040353,Macrophage,0,D38
0.21024984,0.19432753,Macrophage,0,D38
0.20297188,0.18139207,Macrophage,0,D38
0.2245329,0.19153136,Macrophage,0,D38
0.25208294,0.19448054,Macrophage,0,D38
0.2099759,0.21063781,Macrophage,0,D38
0.28216362,0.1984083,Macrophage,0,D38
