post_cnem,pre_cnem,celltype,is_rare,batch
0.13947648,0.15529186,Macrophage,0,D100
0.13573825,0.13581169,Macrophage,0,D100
0.1459598,0.15071708,Macrophage,0,D100
0.12503451,0.12848711,Macrophage,0,D100
0.15393615,0.16214883,Dendritic cell,0,D100
0.13788462,0.14666086,Macrophage,0,D100
0.09624541,0.10068464,Macrophage,0,D100
0.14425272,0.14450598,Macrophage,0,D100
0.1263293,0.12840438,Macrophage,0,D100
0.13545841,0.14131391,Macrophage,0,D100
0.12979972,0.13037121,Macrophage,0,D100
0.14960843,0.15486836,Macrophage,0,D100
0.11169326,0.11757696,Macrophage,0,D100
0.1878888,0.19006991,Macrophage,0,D100
0.14290369,0.14282703,Macrophage,0,D100
0.12364292,0.1327064,Macrophage,0,D100
0.18152499,0.18062592,Dendritic cell,0,D100
0.13759118,0.1407687,Dendritic cell,0,D100
0.17169118,0.17036468,Macrophage,0,D100
0.17814112,0.1788351,Dendritic cell,0,D100
0.19558573,0.19323361,Macrophage,0,D100
0.16218185,0.17055535,Dendritic cell,0,D100
0.1580798,0.16731602,Macrophage,0,D100
0.112155735,0.11667311,Macrophage,0,D100
0.14108765,0.1463772,Macrophage,0,D100
0.120919466,0.11932874,Macrophage,0,D100
0.11915171,0.12071389,Macrophage,0,D100
0.189206,0.19335473,Dendritic cell,0,D100
0.17796922,0.18161142,Dendritic cell,0,D100
0.12866771,0.13462663,Macrophage,0,D100
0.14837182,0.14940476,Macrophage,0,D100
0.1609745,0.17030257,Dendritic cell,0,D100
0.112430274,0.117336035,Macrophage,0,D100
0.1509816,0.14835274,Macrophage,0,D100
0.11439085,0.11164212,Macrophage,0,D100
0.15469027,0.15888482,Macrophage,0,D100
0.1357739,0.13836908,Macrophage,0,D100
0.15382278,0.15946114,Dendritic cell,0,D100
0.12971234,0.13004678,Macrophage,0,D100
0.14804351,0.15521985,Macrophage,0,D100
0.17041284,0.17708445,Macrophage,0,D100
0.16186666,0.15992737,Macrophage,0,D100
0.18357873,0.17918867,Macrophage,0,D100
