post_cnem,pre_cnem,celltype,is_rare,batch
0.31152225,0.26727098,T cell,0,D5
0.33223516,0.2843023,T cell,0,D5
0.30646563,0.17193627,B cell,0,D5
0.21516442,0.1675967,Macrophage,0,D5
0.2861147,0.28192854,B cell,0,D5
0.29605365,0.28204036,T cell,0,D5
0.31997657,0.30686486,T cell,0,D5
0.25580263,0.22493792,B cell,0,D5
0.3845356,0.33415264,T cell,0,D5
0.47584522,0.42295158,B cell,0,D5
0.320485,0.2933246,B cell,0,D5
0.2874657,0.20581478,B cell,0,D5
0.22481042,0.20626843,B cell,0,D5
0.3405617,0.28084105,T cell,0,D5
0.40299094,0.33898222,T cell,0,D5
0.34916997,0.2687853,T cell,0,D5
0.32044178,0.30161333,NK cell,0,D5
0.4043566,0.26589036,B cell,0,D5
0.34002048,0.24849892,T cell,0,D5
0.20976734,0.18805206,pDC,1,D5
0.31751406,0.29550874,T cell,0,D5
0.25239718,0.20764613,Plasma cell,0,D5
0.33198535,0.29280543,T cell,0,D5
0.16546065,0.14093769,Macrophage,0,D5
0.3124928,0.25435293,B cell,0,D5
0.2579881,0.21383542,T cell,0,D5
0.35595006,0.27208662,T cell,0,D5
0.17766535,0.14136523,Dendritic cell,0,D5
0.13723683,0.13248873,Dendritic cell,0,D5
0.23662877,0.19096613,pDC,1,D5
0.21851945,0.20439768,B cell,0,D5
0.29428113,0.23938394,B cell,0,D5
0.28913474,0.20147896,B cell,0,D5
0.31238556,0.24606699,B cell,0,D5
0.32253432,0.25077105,T cell,0,D5
0.23202848,0.21250248,T cell,0,D5
0.3170362,0.18825579,Plasma cell,0,D5
0.28192097,0.2760632,T cell,0,D5
0.45038158,0.42657626,T cell,0,D5
0.29668885,0.25453198,T cell,0,D5
0.45929146,0.23354137,Plasma cell,0,D5
0.302454,0.26529872,B cell,0,D5
0.26450157,0.25831103,T cell,0,D5
0.26358843,0.2363556,B cell,0,D5
0.20676583,0.18099535,T cell,0,D5
0.22967547,0.16674507,T cell,0,D5
0.28034937,0.23767614,B cell,0,D5
0.20309186,0.15539372,T cell,0,D5
0.28121638,0.26318997,NK cell,0,D5
0.27566355,0.20042068,B cell,0,D5
0.38068974,0.28246212,B cell,0,D5
0.14260542,0.13619435,Macrophage,0,D5
0.35563505,0.308329,T cell,0,D5
0.31232643,0.24414885,Plasma cell,0,D5
0.2909994,0.19016409,Plasma cell,0,D5
0.39696473,0.31428927,Plasma cell,0,D5
0.3013438,0.22956246,Plasma cell,0,D5
0.3466218,0.29078126,T cell,0,D5
0.33721066,0.20124501,Plasma cell,0,D5
0.32682848,0.21675229,Plasma cell,0,D5
0.3346998,0.2975633,T cell,0,D5
0.3019601,0.27354187,T cell,0,D5
0.36752135,0.3532955,T cell,0,D5
