cluster,size,survival_std,survival_sel,improvement
B cell_12,256,0.578125,0.984375,0.40625
T cell_13,898,0.49888641425389757,0.89086859688196,0.3919821826280624
T cell_1,2932,0.3379945429740791,0.8830150068212824,0.5450204638472034
NK cell_0,1078,0.5157699443413729,0.9489795918367347,0.43320964749536184
Macrophage_22,725,0.7103448275862069,0.8689655172413793,0.1586206896551724
T cell_6,2006,0.6555333998005982,0.7023928215353938,0.046859421734795625
T cell_11,1324,0.6042296072507553,0.952416918429003,0.34818731117824775
B cell_5,480,0.4166666666666667,0.5708333333333333,0.15416666666666662
T cell_10,1487,0.7572293207800942,0.7222595830531271,-0.0349697377269671
Mast_2,194,0.27835051546391754,0.7525773195876289,0.4742268041237113
Macrophage_2,2447,0.9668982427462198,0.981610134859011,0.014711892112791225
T cell_0,5675,0.28123348017621147,0.5399118942731278,0.25867841409691633
Plasma cell_9,249,0.4497991967871486,0.8433734939759037,0.3935742971887551
NK cell_7,317,0.6656151419558359,0.41324921135646686,-0.25236593059936907
Macrophage_7,2035,0.4407862407862408,0.917936117936118,0.47714987714987717
Macrophage_21,762,0.5931758530183727,0.8359580052493438,0.2427821522309711
Macrophage_18,812,0.32019704433497537,0.6687192118226601,0.3485221674876848
NK cell_14,140,0.7642857142857142,0.6571428571428571,-0.1071428571428571
Macrophage_25,447,0.5145413870246085,0.6062639821029083,0.09172259507829983
Macrophage_27,346,0.6473988439306358,0.9826589595375722,0.33526011560693636
Plasma cell_1,583,0.7307032590051458,0.9982847341337907,0.26758147512864494
Macrophage_20,764,0.9450261780104712,0.9947643979057592,0.04973821989528804
Plasma cell_14,131,0.48091603053435117,0.5114503816793893,0.030534351145038108
pDC_7,94,0.9042553191489362,0.6382978723404256,-0.26595744680851063
Dendritic cell_8,309,0.35275080906148865,0.7961165048543689,0.44336569579288027
Macrophage_28,240,0.8125,0.7916666666666666,-0.02083333333333337
Dendritic cell_0,891,0.9629629629629629,0.9764309764309764,0.013468013468013518
NK cell_5,399,0.3032581453634085,0.43358395989974935,0.13032581453634084
T cell_2,2853,0.2723449001051525,0.9102698913424465,0.637924991237294
Plasma cell_19,35,1.0,0.9142857142857143,-0.08571428571428574
Mast_5,130,0.676923076923077,0.5,-0.17692307692307696
Mast_4,170,0.7,0.9235294117647059,0.22352941176470598
Macrophage_31,60,0.9833333333333333,0.9833333333333333,0.0
NK cell_9,252,0.44047619047619047,0.7976190476190477,0.3571428571428572
NK cell_12,147,0.4965986394557823,0.47619047619047616,-0.020408163265306145
T cell_3,2675,0.47551401869158877,0.9734579439252337,0.4979439252336449
Dendritic cell_12,173,0.3699421965317919,0.6358381502890174,0.26589595375722547
Plasma cell_11,155,0.2967741935483871,0.7612903225806451,0.46451612903225803
Macrophage_0,2766,0.8434562545191613,0.9696312364425163,0.12617498192335497
Mast_12,32,0.78125,0.78125,0.0
NK cell_13,142,0.8098591549295775,0.9577464788732394,0.14788732394366189
Macrophage_9,1472,0.970108695652174,0.9796195652173914,0.009510869565217406
Plasma cell_20,33,0.9090909090909091,1.0,0.09090909090909094
Macrophage_29,201,0.9701492537313433,1.0,0.02985074626865669
Mast_6,107,0.2803738317757009,0.7850467289719626,0.5046728971962617
Dendritic cell_14,144,0.9027777777777778,0.9722222222222222,0.06944444444444442
Plasma cell_10,157,0.9044585987261147,0.8789808917197452,-0.02547770700636942
pDC_2,197,0.3604060913705584,0.9796954314720813,0.6192893401015229
Dendritic cell_4,631,0.9730586370839936,0.9397781299524565,-0.033280507131537185
Dendritic cell_1,831,0.5896510228640193,0.9566787003610109,0.3670276774969916
T cell_20,590,0.8050847457627118,0.6610169491525424,-0.14406779661016944
Macrophage_13,989,0.43174924165824063,0.9797775530839231,0.5480283114256825
T cell_12,1034,0.25338491295938104,0.7166344294003868,0.46324951644100576
Plasma cell_5,346,0.9682080924855492,1.0,0.03179190751445082
Macrophage_3,2442,0.5667485667485668,0.730958230958231,0.1642096642096642
B cell_17,119,0.226890756302521,0.6386554621848739,0.4117647058823529
B cell_7,421,0.7790973871733967,0.9144893111638955,0.13539192399049882
Macrophage_5,2152,0.5664498141263941,0.9451672862453532,0.3787174721189591
